Company,Year,DilutedEPS,EPS_growth,operating_cashflow,opcashflow_growth,free_cashflow,free_cashflow_growth,Sales_Revenue,Sales_growth,book_value,book_value_growth,ROIC,ROIC_growth,ROE,ROE_growth,debt_to_earnings,forward_PE_estimate,forward_eps_estimate,growth_rate_estimate,future_EPS,future_stock_price,target_stock_price,current stock price
adi,31/10/2017,2.07,,3.018133443,,2.464475858,,5107503000,,-20.00711879,,0.040250438,,0.1087037,,0.140693565,22.741018,6.68,10.82905619,18.67724479,424.73956,104.99,154
adi,31/10/2018,3.97,0.917874396,6.598130401,1.186162582,5.90957327,1.397902682,6200942000,0.214084847,-16.32338258,-0.184121274,0.085994146,1.136477281,0.176825402,0.626673251,0.306829785,22.741018,6.68,10.82905619,18.67724479,424.73956,104.99,154
adi,31/10/2019,3.65,-0.080604534,6.117527851,-0.072839202,5.369848707,-0.091330548,5991065000,-0.033845987,-12.93751114,-0.207424621,0.079052005,-0.080728059,0.154260654,-0.127610329,0.328895419,22.741018,6.68,10.82905619,18.67724479,424.73956,104.99,154
adi,31/10/2020,3.28,-0.101369863,5.435910927,-0.111420322,4.987470408,-0.071208393,5603056000,-0.064764612,-10.6384862,-0.177702257,0.07121027,-0.099197174,0.129237215,-0.162215304,0.301370313,22.741018,6.68,10.82905619,18.67724479,424.73956,104.99,154
amd,31/12/2017,0.04,,0.070320579,,-0.046535677,,5329000000,,0.085832472,,0.021435693,,0.333878887,,0.146236559,31.86508,2.52,21.10270199,17.09774639,544.8210567,134.67,80
amd,31/12/2018,0.32,7,0.033830846,-0.518905473,-0.128358209,1.75827529,6475000000,0.215049728,0.747263682,7.706072049,0.133942766,5.248585795,0.356240126,0.066974104,0.3608,31.86508,2.52,21.10270199,17.09774639,544.8210567,134.67,80
amd,31/12/2019,0.3,-0.0625,0.421367521,11.45512821,0.235897436,-2.837805605,6731000000,0.03953668,1.98974359,1.662706135,0.095921238,-0.283863994,0.223204811,-0.373442815,0.866758242,31.86508,2.52,21.10270199,17.09774639,544.8210567,134.67,80
amd,31/12/2020,2.04,5.8,0.884393064,1.098863863,0.641618497,1.719904499,9763000000,0.450453127,4.39223782,1.207439111,0.391017588,3.076444355,0.23453829,0.050776143,2.578154426,31.86508,2.52,21.10270199,17.09774639,544.8210567,134.67,80
intc,31/12/2017,1.99,,4.717303179,,2.204395135,,62761000000,,6.802858972,,0.100185742,,0.265434156,,0.683250662,13.119341,4.86,5.311474089,8.154422084,106.980644,26.44,65
intc,31/12/2018,4.48,1.251256281,6.517271922,0.381567322,3.155668733,0.431534974,70848000000,0.128853906,8.461913198,0.243876028,0.208606647,1.082198955,0.311736384,0.174439601,0.881824045,13.119341,4.86,5.311474089,8.154422084,106.980644,26.44,65
intc,31/12/2019,4.71,0.051339286,7.726107226,0.185481796,3.946853147,0.250718463,71965000000,0.015766147,9.417482517,0.112925918,0.197624525,-0.05264512,0.289378613,-0.071720121,0.773352643,13.119341,4.86,5.311474089,8.154422084,106.980644,26.44,65
intc,31/12/2020,4.94,0.048832272,8.710979813,0.127473326,5.152880355,0.30556678,77867000000,0.082012089,11.08838011,0.17742508,0.177956216,-0.099523625,0.294627212,0.018137481,0.655916046,13.119341,4.86,5.311474089,8.154422084,106.980644,26.44,65
ndva,01/01/2018,4.82,,5.778877888,,4.800330033,,9714000000,,11.22277228,,0.321718931,,0.429661357,,1.605,34.508396,14.89,22.85324238,116.6167484,4024.256934,994.73,527
ndva,01/01/2019,6.63,0.375518672,6.176567657,0.068817818,5.186468647,0.080440014,11716000000,0.206094297,14.32178218,0.276135862,0.36548985,0.136053288,0.40719332,-0.052292431,1.913480885,34.508396,14.89,22.85324238,116.6167484,4024.256934,994.73,527
ndva,01/01/2020,4.52,-0.318250377,7.415989595,0.20066516,6.654296902,0.283011111,10918000000,-0.068111984,17.97065154,0.254777605,0.188320873,-0.484743905,0.233202229,-0.42729358,1.076806659,34.508396,14.89,22.85324238,116.6167484,4024.256934,994.73,527
ndva,31/12/2020,4.58,0.013274336,9.390322581,0.266226504,7.570967742,0.137756228,16675000000,0.527294376,16.06935484,-0.105800098,0.176018853,-0.06532478,0.268276801,0.150404104,0.587198756,34.508396,14.89,22.85324238,116.6167484,4024.256934,994.73,527
qcom,30/09/2017,1.65,,3.18385346,,2.715739484,,22291000000,,13.83039349,,0.046847395,,0.085019189,,0.119398895,16.195303,8.09,22.18534658,59.99841421,971.6924977,240.19,134
qcom,30/09/2018,-3.32,-3.012121212,3.195242002,0.003576968,2.552091879,-0.060258949,22732000000,0.019783769,-6.993437244,-1.505657142,-0.281188577,-7.002224448,0.799568966,8.404570549,0.045326817,16.195303,8.09,22.18534658,59.99841421,971.6924977,240.19,134
qcom,30/09/2019,3.59,-2.081325301,6.363318777,0.991498226,5.588646288,1.189829581,24273000000,0.0677899,-3.096069869,-0.557289247,0.210440457,-1.74839618,1.561825219,0.953333967,0.481202536,16.195303,8.09,22.18534658,59.99841421,971.6924977,240.19,134
qcom,30/09/2020,4.52,0.259052925,,0,,0,19999000000,-0.176080419,-1.679045093,-0.457685012,,0,,0,,16.195303,8.09,22.18534658,59.99841421,971.6924977,240.19,134
