Ticker,Company,GICS Sector,GICS Sub-Industry
AMD,Advanced Micro Devices,Information Technology,Semiconductors
ADI,Analog Devices,Information Technology,Semiconductors
AVGO,Broadcom Inc.,Information Technology,Semiconductors
INTC,Intel Corporation,Information Technology,Semiconductors
MXIM,Maxim Integrated Products,Information Technology,Semiconductors
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,"Micron Technology, Inc.",Information Technology,Semiconductors
NVDA,Nvidia Corporation,Information Technology,Semiconductors
NXPI,NXP Semiconductors,Information Technology,Semiconductors
QCOM,Qualcomm,Information Technology,Semiconductors
SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors
TXN,Texas Instruments,Information Technology,Semiconductors
XLNX,"Xilinx, Inc.",Information Technology,Semiconductors
